"Customer ID","Gender","Age","Country","Membership Reward Status","Neighborhood Type","Income Bracket","Sign-Up Bonus","Membership in Months","ID of Favorite Product","Total Spend","Promotion Purchase Count","Promotion Purchase Indicator"
140,"M",76,"DK","Gold","C","10",1,NA,"6d1645c536",16000,0,0
620,"M",49,"DK","Gold","D","4",1,NA,"f6923d15c6",6000,0,0
868,"F",70,"DK","Bronze","D","5",1,8,"29fd49fbe8",0.02,1,1
1120,"M",65,"DK","None","F","10",1,NA,"6c0d6497c2",0.01,1,1
2313,"F",68,"DK","None","A","11",1,8,"96b8e0c752",0.01,0,0
2771,"M",72,"FI","Silver","D","9",1,NA,"0876c150cc",20759.81,0,0
3131,"F",74,"DK","None","A","11",1,8,"08c4d3d0a3",0.01,0,0
3328,"M",62,"FI","None","D","13",1,NA,"2ab7ffe22c",0.01,0,0
4529,"M",62,"DK","Bronze","F","10",1,NA,"ab68c67d6d",2038.76,0,0
5886,"F",43,NA,"Gold","F","14",1,NA,"02f2f6ab8b",6000,1,1
7420,"F",60,"FI","Gold","F","7",1,2,"8830b040b2",11000,0,0
9814,"M",-1,"SE","Bronze","C","5",1,1,"84fbf54144",5000,1,1
10006,"F",51,"DK","Bronze","F","9",1,11,"2e0f19cc5e",300,0,0
10219,"F",64,"SE","None","C","6",1,NA,"aca083b89b",0.01,0,0
10812,"F",37,"SE","None","C","16",1,NA,"8797c315c3",0.01,2,1
11207,"M",54,"DK","Bronze","D","8",1,1,"cefe5c9e45",1420,0,0
11932,"F",70,"DK","Gold","B","5",1,8,"c0556fb017",6104.66,0,0
14656,"F",42,"DK","None","C",".",1,NA,"c71f248810",0.01,1,1
15350,"F",-1,"NO","None","E","7",1,NA,"b246befe4d",0.01,1,1
17302,"M",49,"SE","None","D","7",1,NA,"6d2e1d3288",0.01,0,0
19496,"F",66,"DK","Bronze","F","9",1,NA,"2f0fa0f8f1",500,0,0
19763,"F",74,"DK","Gold","B","9",1,NA,"55e85466f7",6000,0,0
20478,"M",70,"DK","Gold","E","6",1,2,"22635f57d8",16000,0,0
20761,"M",66,"SE","Bronze","D","7",1,5,"78f799aab6",1000,0,0
23124,"F",46,"SE","None","D","6",1,NA,"3e1a929deb",0.01,0,0
24554,"M",39,"DK","None",NA,"10",1,5,"f8f02c2f8f",0.01,0,0
24880,"M",75,"DK","Bronze","B","7",1,NA,"1228d9f6ea",4000,0,0
26387,"F",72,"DK","Bronze",NA,".",1,NA,"42dc6b86ec",1250,1,1
27715,"M",43,"FI","None","F","7",1,5,"f77ad54145",0.01,1,1
29173,"F",62,"DK","Gold","C","7",1,4,"29484116f6",20000,0,0
29440,"M",37,"DE","Bronze","B","8",1,NA,"aed07dc7de",1000,1,1
30600,"F",49,"SE","None","F","9",1,8,"597205e7c7",0.01,0,0
30937,"M",79,"FI","Gold","D","8",1,NA,"57b504ad13",6000,0,0
39330,"M",-1,"DK","None","F",".",1,NA,"c663a7d797",0.01,0,0
41092,"F",50,"DK","Gold","D","3",1,NA,"a36eca834d",9800,0,0
41475,"M",66,"SE","None","D",".",1,NA,"a05e095dca",0.01,0,0
42439,"F",35,"DK","Bronze","C","15",1,5,"5fb6152c01",1630,1,1
45799,"F",71,"DK","Bronze","B","10",1,5,"3c62be9156",1500,0,0
46906,"F",44,"FI","Bronze","F","7",1,1,"ed4b63e966",1000,0,0
50237,"M",42,"FI","None","B","8",1,NA,"f11a3b52b9",0.01,0,0
51950,"F",68,"DE","Gold","B","9",1,NA,"3e44e00e0f",6053.25,1,1
54496,"F",31,"FI","None","D","9",1,NA,"ac3333d7b0",0.01,0,0
56073,"F",70,"SE","Gold","B","8",1,15,"07bb3d20a4",19053.82,0,0
57002,"F",72,"FI","Silver","E","7",1,NA,"9b66681eaf",20526.96,0,0
57622,"M",41,"DK","None",NA,"12",1,NA,"75783ed7fd",0.01,0,0
59056,"F",37,"FI","Gold","F","9",1,1,"2f8c0723ab",6000,1,1
59862,"F",58,"FI","Gold","C","8",1,NA,"1cb7275d08",10053.35,0,0
63002,"F",47,"SE","Bronze","D","7",1,5,"f5aec2113b",0.02,0,0
63983,"M",71,"DK","Bronze","E","8",1,NA,"4e77c9e1b7",1000,0,0
71986,"F",62,"DK","Bronze","D","8",1,NA,"3b9d4c6c0a",1000,1,1
72559,"M",72,"DK","Gold","E","15",1,12,"9ba7180590",6340.26,0,0
73148,"F",39,"DK","Bronze","E","8",1,NA,"95bfcbb192",2241.36,1,1
75205,"M",76,"DK","Gold","D","6",1,19,"d7554cb596",12000,0,0
75469,"F",61,"NO","Gold","B","7",1,11,"9996254157",6000,1,1
80322,"M",53,"DK","None","D","6",1,NA,"3206790451",0.01,0,0
80608,"M",60,"FI","Bronze","C","8",1,NA,"cfbc365082",60,1,1
82678,"F",42,"SE","None","F","15",1,NA,"13e916b3e9",0.01,1,1
83852,"F",-1,"SE","Bronze","A","13",1,4,"de1cf9cef4",5000,0,0
